trial,original_action,q_margin,obstacles,saliency_values,actions_after_removal,changed,faithful_top_salient,faithful_least_salient
0,3,0.011477470397949219,"[(np.int64(4), np.int64(0)), (np.int64(4), np.int64(3)), (np.int64(1), np.int64(2))]","[0.9026163816452026, 0.8139781355857849, 0.8370072245597839]","[3, 3, 3]","[False, False, False]",False,False
1,0,0.12813282012939453,"[(np.int64(3), np.int64(2)), (np.int64(3), np.int64(1)), (np.int64(2), np.int64(1))]","[1.1737116575241089, 1.3012974262237549, 1.1855294704437256]","[0, 0, 3]","[False, False, True]",False,False
2,0,0.04969215393066406,"[(np.int64(3), np.int64(2)), (np.int64(3), np.int64(0)), (np.int64(0), np.int64(3))]","[1.2797635793685913, 1.0704436302185059, 1.0445970296859741]","[0, 3, 0]","[False, True, False]",False,False
3,0,1.4284353256225586,"[(np.int64(3), np.int64(0)), (np.int64(1), np.int64(0)), (np.int64(3), np.int64(3))]","[1.1044223308563232, 1.4788033962249756, 1.1606355905532837]","[0, 0, 0]","[False, False, False]",False,False
4,0,0.0842447280883789,"[(np.int64(0), np.int64(2)), (np.int64(2), np.int64(0)), (np.int64(4), np.int64(1))]","[1.1419562101364136, 1.0530169010162354, 1.070340633392334]","[0, 3, 0]","[False, True, False]",False,True
5,3,0.21373558044433594,"[(np.int64(1), np.int64(3)), (np.int64(3), np.int64(3)), (np.int64(1), np.int64(2))]","[1.2360436916351318, 1.1060432195663452, 1.0250673294067383]","[3, 3, 3]","[False, False, False]",False,False
6,0,0.023435592651367188,"[(np.int64(4), np.int64(0)), (np.int64(0), np.int64(3)), (np.int64(1), np.int64(3))]","[1.0654549598693848, 1.099932074546814, 1.4431556463241577]","[3, 3, 3]","[True, True, True]",True,True
7,0,0.2072000503540039,"[(np.int64(3), np.int64(1)), (np.int64(2), np.int64(1)), (np.int64(3), np.int64(0))]","[1.532129168510437, 1.186973214149475, 1.1380480527877808]","[0, 0, 0]","[False, False, False]",False,False
8,3,0.014964103698730469,"[(np.int64(3), np.int64(3)), (np.int64(0), np.int64(4)), (np.int64(2), np.int64(4))]","[0.9490336179733276, 1.3261284828186035, 1.0913742780685425]","[3, 3, 3]","[False, False, False]",False,False
9,0,0.0061206817626953125,"[(np.int64(3), np.int64(4)), (np.int64(0), np.int64(2)), (np.int64(2), np.int64(3))]","[1.48200523853302, 1.141369104385376, 1.2732373476028442]","[3, 3, 3]","[True, True, True]",True,True
10,3,0.05985260009765625,"[(np.int64(0), np.int64(4)), (np.int64(1), np.int64(4)), (np.int64(4), np.int64(2))]","[0.8842534422874451, 0.9805747866630554, 1.1077262163162231]","[3, 3, 3]","[False, False, False]",False,False
11,0,1.7681770324707031,"[(np.int64(3), np.int64(3)), (np.int64(0), np.int64(2)), (np.int64(1), np.int64(0))]","[1.4231815338134766, 1.7896075248718262, 1.1755043268203735]","[0, 0, 3]","[False, False, True]",False,True
12,0,1.2989253997802734,"[(np.int64(1), np.int64(2)), (np.int64(1), np.int64(0)), (np.int64(3), np.int64(4))]","[1.1274418830871582, 1.9238331317901611, 0.9406689405441284]","[0, 3, 0]","[False, True, False]",True,False
13,0,2.018972396850586,"[(np.int64(1), np.int64(0)), (np.int64(2), np.int64(4)), (np.int64(4), np.int64(1))]","[1.4324710369110107, 0.9783348441123962, 0.9997280836105347]","[3, 0, 0]","[True, False, False]",True,False
14,0,0.1885089874267578,"[(np.int64(2), np.int64(3)), (np.int64(1), np.int64(1)), (np.int64(4), np.int64(3))]","[1.2059073448181152, 1.2337441444396973, 0.9509040117263794]","[0, 0, 3]","[False, False, True]",False,True
15,0,0.17479324340820312,"[(np.int64(4), np.int64(2)), (np.int64(3), np.int64(0)), (np.int64(2), np.int64(0))]","[1.22711181640625, 1.0205092430114746, 1.0667383670806885]","[0, 0, 0]","[False, False, False]",False,False
16,3,1.1871929168701172,"[(np.int64(2), np.int64(4)), (np.int64(0), np.int64(1)), (np.int64(1), np.int64(3))]","[1.204775094985962, 1.5309966802597046, 1.1240307092666626]","[3, 3, 3]","[False, False, False]",False,False
17,0,0.09853267669677734,"[(np.int64(1), np.int64(2)), (np.int64(4), np.int64(1)), (np.int64(3), np.int64(0))]","[0.8716714382171631, 1.064886450767517, 0.9282574653625488]","[0, 0, 3]","[False, False, True]",False,False
18,3,0.13899803161621094,"[(np.int64(1), np.int64(2)), (np.int64(4), np.int64(0)), (np.int64(0), np.int64(3))]","[0.988958477973938, 1.0017552375793457, 0.9461361169815063]","[3, 3, 3]","[False, False, False]",False,False
19,0,0.0692901611328125,"[(np.int64(4), np.int64(2)), (np.int64(2), np.int64(2)), (np.int64(3), np.int64(1))]","[1.323881983757019, 1.0452542304992676, 1.0344040393829346]","[0, 3, 0]","[False, True, False]",False,False
20,0,0.15025997161865234,"[(np.int64(4), np.int64(0)), (np.int64(2), np.int64(0)), (np.int64(3), np.int64(0))]","[1.031339168548584, 1.0626933574676514, 1.1559314727783203]","[0, 0, 3]","[False, False, True]",True,False
21,3,0.007229804992675781,"[(np.int64(0), np.int64(2)), (np.int64(3), np.int64(3)), (np.int64(0), np.int64(4))]","[1.155548095703125, 0.9990507364273071, 0.950188159942627]","[3, 3, 3]","[False, False, False]",False,False
22,3,1.3221311569213867,"[(np.int64(1), np.int64(3)), (np.int64(0), np.int64(1)), (np.int64(4), np.int64(0))]","[0.7619879841804504, 1.6448887586593628, 0.6628606915473938]","[3, 3, 3]","[False, False, False]",False,False
23,3,0.04479217529296875,"[(np.int64(3), np.int64(3)), (np.int64(2), np.int64(4)), (np.int64(1), np.int64(3))]","[0.8943595886230469, 0.9654366970062256, 1.5524938106536865]","[3, 3, 3]","[False, False, False]",False,False
24,3,0.15265846252441406,"[(np.int64(1), np.int64(2)), (np.int64(1), np.int64(3)), (np.int64(4), np.int64(2))]","[0.8596534132957458, 0.9648616909980774, 1.0946873426437378]","[3, 3, 3]","[False, False, False]",False,False
25,3,0.010998725891113281,"[(np.int64(4), np.int64(2)), (np.int64(2), np.int64(4)), (np.int64(1), np.int64(1))]","[0.888087809085846, 0.9330785274505615, 0.9385685324668884]","[0, 0, 3]","[True, True, False]",False,True
26,3,1.1573753356933594,"[(np.int64(3), np.int64(3)), (np.int64(4), np.int64(3)), (np.int64(0), np.int64(1))]","[0.918371319770813, 0.7288764119148254, 1.6117733716964722]","[3, 3, 3]","[False, False, False]",False,False
27,0,0.09704208374023438,"[(np.int64(4), np.int64(0)), (np.int64(2), np.int64(2)), (np.int64(1), np.int64(2))]","[1.0237510204315186, 1.1070077419281006, 1.1410614252090454]","[0, 3, 0]","[False, True, False]",False,False
28,3,0.1302337646484375,"[(np.int64(3), np.int64(2)), (np.int64(2), np.int64(3)), (np.int64(1), np.int64(3))]","[0.8632832765579224, 1.1019200086593628, 1.2061808109283447]","[3, 3, 3]","[False, False, False]",False,False
29,0,0.041934967041015625,"[(np.int64(0), np.int64(4)), (np.int64(3), np.int64(3)), (np.int64(3), np.int64(1))]","[1.0323516130447388, 1.1743474006652832, 1.2158715724945068]","[0, 0, 3]","[False, False, True]",True,False
