seed,trial,original_action,q_margin,saliency_values,changed,faithful_top_salient,faithful_least_salient,faithful_random
0,0,3,0.1512908935546875,"[1.23299241065979, 1.6583901643753052, 2.4007303714752197]","[False, False, True]",True,False,False
0,1,0,1.5932426452636719,"[1.1929279565811157, 1.0253418684005737, 1.7325488328933716]","[False, False, False]",False,False,False
0,2,0,0.007518768310546875,"[1.151510238647461, 0.9254706501960754, 0.8748918771743774]","[False, False, False]",False,False,False
0,3,3,0.17327499389648438,"[1.000083327293396, 1.0530900955200195, 1.0684199333190918]","[True, False, False]",False,True,False
0,4,0,0.07478046417236328,"[0.9967231154441833, 1.0366407632827759, 1.1177635192871094]","[False, False, False]",False,False,False
0,5,0,2.234243392944336,"[0.9962485432624817, 0.8269661068916321, 0.7570250034332275]","[True, True, False]",True,False,True
0,6,3,1.9149799346923828,"[1.2995089292526245, 1.5435981750488281, 1.069815754890442]","[False, False, True]",False,True,False
0,7,3,0.03523540496826172,"[1.1281150579452515, 1.0278953313827515, 1.2206261157989502]","[False, True, True]",True,True,True
0,8,3,1.3760480880737305,"[1.09702467918396, 1.464548110961914, 0.9665345549583435]","[False, False, False]",False,False,False
0,9,0,1.4307575225830078,"[0.9868114590644836, 1.3063350915908813, 1.5640490055084229]","[False, False, True]",True,False,False
0,10,3,0.045307159423828125,"[0.9741805195808411, 1.0902055501937866, 0.9924108386039734]","[False, False, False]",False,False,False
0,11,0,0.042885780334472656,"[1.001207709312439, 0.8995305299758911, 1.14944326877594]","[False, False, False]",False,False,False
0,12,3,0.03582477569580078,"[1.185739517211914, 1.1876922845840454, 1.2351288795471191]","[True, False, True]",True,True,True
0,13,3,0.11319351196289062,"[1.2105170488357544, 0.9621415138244629, 1.0080171823501587]","[False, True, False]",False,True,True
0,14,0,0.0653238296508789,"[0.9349732398986816, 1.1891038417816162, 0.8408180475234985]","[False, False, False]",False,False,False
0,15,3,0.026612281799316406,"[0.9085071682929993, 1.2954542636871338, 0.9959369897842407]","[True, True, True]",True,True,True
0,16,0,0.19897079467773438,"[1.14621102809906, 0.9507892727851868, 0.8984746932983398]","[True, False, False]",True,False,False
0,17,3,0.11788558959960938,"[0.9989005327224731, 0.9984155893325806, 1.0394673347473145]","[False, False, True]",True,False,False
0,18,3,0.24761009216308594,"[1.1393005847930908, 1.058205246925354, 0.8594315648078918]","[False, False, False]",False,False,False
0,19,3,1.6024341583251953,"[1.4501450061798096, 1.0273200273513794, 1.1119234561920166]","[True, False, False]",True,False,False
0,20,3,0.04018688201904297,"[0.9176257848739624, 1.0853683948516846, 1.1259886026382446]","[False, True, False]",False,False,False
0,21,3,0.11890506744384766,"[1.0584261417388916, 1.07730233669281, 0.9406999349594116]","[False, False, False]",False,False,False
0,22,3,0.10072803497314453,"[0.6234206557273865, 1.0222864151000977, 1.1717337369918823]","[False, False, False]",False,False,False
0,23,0,1.764714241027832,"[0.6708544492721558, 1.0639171600341797, 1.0156059265136719]","[False, True, True]",True,False,True
0,24,0,1.1578731536865234,"[1.0837254524230957, 0.9477620124816895, 1.5990204811096191]","[False, False, True]",True,False,False
0,25,0,0.1298360824584961,"[0.969016432762146, 0.9475558400154114, 1.1552467346191406]","[False, False, False]",False,False,False
0,26,3,0.07712459564208984,"[1.0760345458984375, 1.3905227184295654, 1.0370458364486694]","[False, True, False]",True,False,False
0,27,3,0.29088878631591797,"[0.8621964454650879, 1.1084282398223877, 1.1701550483703613]","[True, False, False]",False,True,False
0,28,3,0.39080142974853516,"[0.8996104001998901, 0.5619322061538696, 1.2699426412582397]","[False, False, False]",False,False,False
0,29,0,1.2201147079467773,"[1.7588565349578857, 1.0306843519210815, 0.8826876282691956]","[False, False, False]",False,False,False
0,30,0,0.03986549377441406,"[1.2367290258407593, 0.7779625058174133, 0.8675382137298584]","[True, False, True]",True,False,False
0,31,3,0.17022037506103516,"[1.0019266605377197, 1.1485439538955688, 1.0704492330551147]","[False, False, False]",False,False,False
0,32,3,0.05543804168701172,"[0.8269433379173279, 1.0873106718063354, 1.0967646837234497]","[True, False, False]",False,True,False
0,33,3,0.08544063568115234,"[1.101446509361267, 1.0928505659103394, 0.8547358512878418]","[False, False, True]",False,True,False
0,34,3,0.12812328338623047,"[0.9218202829360962, 0.9773025512695312, 1.1183998584747314]","[False, True, True]",True,False,False
0,35,3,0.033194541931152344,"[1.144088625907898, 1.1095614433288574, 0.9299950003623962]","[True, False, False]",True,False,True
0,36,3,1.1218900680541992,"[1.704262137413025, 1.079149842262268, 1.1261930465698242]","[False, False, False]",False,False,False
0,37,3,1.6956768035888672,"[0.8884856104850769, 1.5602716207504272, 0.9393414258956909]","[False, False, False]",False,False,False
0,38,3,0.058002471923828125,"[1.1608812808990479, 0.9516262412071228, 1.1767868995666504]","[False, False, False]",False,False,False
0,39,3,1.3011436462402344,"[0.9343973994255066, 0.9609146118164062, 1.5362086296081543]","[False, False, True]",True,False,False
0,40,3,0.13914203643798828,"[1.0600579977035522, 1.0301541090011597, 1.028582215309143]","[False, False, False]",False,False,False
0,41,3,0.18579578399658203,"[1.170211672782898, 0.9170019030570984, 1.0536975860595703]","[False, False, False]",False,False,False
0,42,3,0.006293296813964844,"[0.9861240983009338, 1.2376188039779663, 0.9858012199401855]","[True, False, True]",False,True,False
0,43,3,0.04921913146972656,"[0.9469980597496033, 1.2354656457901, 0.8864128589630127]","[False, False, True]",False,True,False
0,44,3,0.08908271789550781,"[0.8102906346321106, 0.9970752000808716, 1.099591851234436]","[False, False, False]",False,False,False
0,45,3,0.23608684539794922,"[0.9902944564819336, 1.4268600940704346, 1.1164307594299316]","[False, False, False]",False,False,False
0,46,3,0.14103412628173828,"[1.9096202850341797, 2.588292121887207, 1.3994060754776]","[False, True, True]",True,True,True
0,47,3,1.3295412063598633,"[1.490263819694519, 1.1246304512023926, 1.0483864545822144]","[True, False, False]",True,False,False
0,48,3,0.16915512084960938,"[0.8503488898277283, 0.8806313276290894, 1.2169967889785767]","[False, False, False]",False,False,False
0,49,3,1.6657466888427734,"[1.4205398559570312, 1.1464654207229614, 1.008525013923645]","[False, False, False]",False,False,False
0,50,0,0.14342403411865234,"[1.119924545288086, 0.8428336977958679, 0.7953744530677795]","[True, False, False]",True,False,False
0,51,3,0.07734394073486328,"[0.9124370813369751, 1.0660563707351685, 0.8820750117301941]","[False, False, False]",False,False,False
0,52,3,0.1758251190185547,"[0.9824881553649902, 0.7304282784461975, 0.9945287704467773]","[True, False, False]",False,False,False
0,53,3,0.2728309631347656,"[0.9392527937889099, 1.2457064390182495, 1.1227624416351318]","[False, False, False]",False,False,False
0,54,3,0.032288551330566406,"[1.015491008758545, 1.029354214668274, 1.2217470407485962]","[False, False, False]",False,False,False
0,55,3,0.00151824951171875,"[1.159386396408081, 0.835266649723053, 1.2829889059066772]","[False, False, True]",True,False,True
0,56,3,1.138620376586914,"[1.5777231454849243, 0.9870936274528503, 1.1068365573883057]","[True, False, False]",True,False,False
0,57,3,0.15430164337158203,"[0.8163654804229736, 0.9960500597953796, 1.4007922410964966]","[True, False, False]",False,True,False
0,58,3,0.05543804168701172,"[1.0967646837234497, 0.8269433379173279, 1.0873106718063354]","[False, True, False]",False,True,False
0,59,3,0.06921005249023438,"[1.1002951860427856, 0.8667418956756592, 1.0846298933029175]","[True, False, False]",True,False,False
0,60,0,1.8169145584106445,"[0.910370409488678, 1.6259093284606934, 0.7948658466339111]","[False, False, False]",False,False,False
0,61,3,0.02783679962158203,"[0.9961708784103394, 1.0049188137054443, 1.2635146379470825]","[False, False, True]",True,False,True
0,62,3,0.21979808807373047,"[0.995996356010437, 1.3856534957885742, 1.1391412019729614]","[False, False, False]",False,False,False
0,63,3,0.010516166687011719,"[1.2926281690597534, 1.0094645023345947, 1.0649030208587646]","[False, False, False]",False,False,False
0,64,0,0.050545692443847656,"[0.8167484998703003, 1.1652796268463135, 0.8387678265571594]","[False, True, False]",True,False,True
0,65,0,0.060028076171875,"[1.329642415046692, 0.9742223620414734, 0.919585108757019]","[False, True, False]",False,False,True
0,66,0,2.540825843811035,"[1.031601071357727, 2.0608389377593994, 1.0254982709884644]","[False, False, False]",False,False,False
