trial,original_action,q_margin,obstacles,saliency_values,actions_after_removal,changed,faithful_top_salient,faithful_least_salient
0,3,1.7208929061889648,"[(np.int64(1), np.int64(1)), (np.int64(0), np.int64(1)), (np.int64(4), np.int64(3))]","[0.7412437796592712, 1.2223840951919556, 0.8157552480697632]","[3, 0, 3]","[False, True, False]",True,False
1,0,0.058402061462402344,"[(np.int64(2), np.int64(2)), (np.int64(4), np.int64(2)), (np.int64(0), np.int64(2))]","[1.0205626487731934, 1.3223906755447388, 1.2094985246658325]","[3, 0, 0]","[True, False, False]",False,True
2,3,0.11775779724121094,"[(np.int64(4), np.int64(2)), (np.int64(1), np.int64(4)), (np.int64(1), np.int64(3))]","[1.020660400390625, 0.9698179960250854, 0.9923220872879028]","[3, 3, 3]","[False, False, False]",False,False
3,3,0.09091567993164062,"[(np.int64(3), np.int64(3)), (np.int64(4), np.int64(1)), (np.int64(1), np.int64(3))]","[0.9764962196350098, 0.8416350483894348, 1.2202097177505493]","[3, 3, 3]","[False, False, False]",False,False
4,3,0.09508419036865234,"[(np.int64(4), np.int64(0)), (np.int64(4), np.int64(2)), (np.int64(1), np.int64(2))]","[0.9847378134727478, 1.1829471588134766, 0.9011050462722778]","[3, 3, 3]","[False, False, False]",False,False
5,0,1.0457754135131836,"[(np.int64(2), np.int64(0)), (np.int64(3), np.int64(4)), (np.int64(1), np.int64(1))]","[1.1055926084518433, 1.4493286609649658, 0.8777287602424622]","[3, 0, 3]","[True, False, True]",False,True
6,3,1.0840129852294922,"[(np.int64(0), np.int64(1)), (np.int64(3), np.int64(4)), (np.int64(0), np.int64(2))]","[1.39189612865448, 1.1355323791503906, 0.8955109715461731]","[3, 3, 3]","[False, False, False]",False,False
7,0,0.024019241333007812,"[(np.int64(2), np.int64(0)), (np.int64(3), np.int64(3)), (np.int64(4), np.int64(1))]","[1.1033574342727661, 1.166388988494873, 0.9782356023788452]","[3, 0, 0]","[True, False, False]",False,False
8,0,0.13436317443847656,"[(np.int64(1), np.int64(4)), (np.int64(4), np.int64(0)), (np.int64(2), np.int64(2))]","[1.1346755027770996, 1.1020734310150146, 1.1677043437957764]","[0, 0, 3]","[False, False, True]",True,False
9,0,0.06374835968017578,"[(np.int64(3), np.int64(1)), (np.int64(4), np.int64(0)), (np.int64(1), np.int64(1))]","[1.1635465621948242, 0.9093909859657288, 1.4387108087539673]","[0, 0, 0]","[False, False, False]",False,False
